	organism_name	taxid
0	Drosophila melanogaster	7227
1	Homo sapiens	9606
2	Mus musculus	10090
3	Arabidopsis thaliana	3702
4	Drosophila pseudoobscura pseudoobscura	46245
5	Rattus norvegicus	10116
6	Loxodonta africana	9785
7	Talaromyces marneffei ATCC 18224	441960
8	Danio rerio	7955
9	Aplysia californica	6500
10	Strongylocentrotus purpuratus	7668
12	Ornithorhynchus anatinus	9258
13	Canis lupus familiaris	9615
14	Monodelphis domestica	13616
15	Gallus gallus	9031
16	Nasonia vitripennis	7425
17	Tribolium castaneum	7070
18	Plasmodium vivax	5855
19	Physcomitrella patens	3218
20	Giardia lamblia ATCC 50803	184922
21	Trypanosoma brucei brucei TREU927	185431
22	Bigelowiella natans	227086
23	Magnaporthe oryzae 70-15	242507
24	Kluyveromyces lactis	28985
25	Yarrowia lipolytica CLIB122	284591
26	[Candida] glabrata	5478
27	Chlamydomonas reinhardtii	3055
28	Aspergillus fumigatus Af293	330879
29	Aspergillus clavatus NRRL 1	344612
30	Leishmania major strain Friedlin	347515
31	Plasmodium falciparum 3D7	36329
32	Populus trichocarpa	3694
33	Trichomonas vaginalis G3	412133
34	Leishmania braziliensis MHOM/BR/75/M2904	420245
35	Aspergillus niger CBS 513.88	425011
36	Monosiga brevicollis MX1	431895
37	Leishmania infantum JPCM5	435258
38	Schizosaccharomyces pombe	4896
39	Guillardia theta	55529
40	Caenorhabditis elegans	6239
41	Brugia malayi	6279
42	Sus scrofa	9823
43	Talaromyces stipitatus ATCC 10500	441959
44	Bifidobacterium longum subsp. longum ATCC 55813	548480
45	Sorghum bicolor	4558
46	Clostridioides difficile QCD-66c26	455631
47	Theileria annulata	5874
48	Uncinocarpus reesii 1704	336963
49	Saccoglossus kowalevskii	10224
50	Oryctolagus cuniculus	9986
51	Bacillus cereus m1293	526973
52	Vitis vinifera	29760
53	Branchiostoma floridae	7739
54	Clavispora lusitaniae ATCC 42720	306902
55	Blastomyces gilchristii SLH14081	559298
56	Bacillus mycoides DSM 2048	526997
57	Bacillus cereus AH1273	526994
58	Cucumis sativus	3659
59	Hydra vulgaris	6087
60	Schizosaccharomyces cryophilus OY26	653667
61	Xenopus tropicalis	8364
62	Arabidopsis lyrata subsp. lyrata	81972
63	Ailuropoda melanoleuca	9646
64	Glycine max	3847
65	Caenorhabditis briggsae	6238
66	Callithrix jacchus	9483
67	Dictyostelium discoideum AX4	352472
68	Heterostelium album PN500	670386
69	Naegleria gruberi strain NEG-M	744533
70	Zea mays	4577
71	Drosophila ananassae	7217
72	Drosophila grimshawi	7222
73	Drosophila mojavensis	7230
74	Drosophila sechellia	7238
75	Drosophila virilis	7244
76	Brachypodium distachyon	15368
77	Anopheles gambiae str. PEST	180454
78	Bacillus pseudofirmus OF4	398511
79	Escherichia coli str. K-12 substr. MG1655	511145
80	Drosophila willistoni	7260
81	Drosophila yakuba	7245
82	Methanococcus voltae A3	456320
83	Aspergillus flavus NRRL3357	332952
84	Pediculus humanus corporis	121224
85	Candida tropicalis MYA-3404	294747
86	Plasmodium knowlesi strain H	5851
87	Perkinsus marinus ATCC 50983	423536
88	Cryptosporidium hominis TU502	353151
89	Debaryomyces hansenii CBS767	284592
90	Cryptosporidium muris RN66	441375
91	Toxoplasma gondii ME49	508771
92	Corynebacterium jeikeium K411	306537
93	Ureaplasma parvum serovar 3 str. ATCC 700970	273119
94	Yersinia pestis KIM10+	187410
95	Escherichia coli O157:H7 str. EDL933	155864
96	Chlamydia muridarum str. Nigg	243161
97	Xylella fastidiosa 9a5c	160492
98	Vibrio cholerae O1 biovar El Tor str. N16961	243277
99	Pseudomonas aeruginosa PAO1	208964
100	Streptococcus pyogenes M1 GAS	160490
101	Halobacterium salinarum NRC-1	64091
102	Pasteurella multocida subsp. multocida str. Pm70	272843
103	Neisseria gonorrhoeae FA 1090	242231
104	Lactococcus lactis subsp. lactis Il1403	272623
105	Streptococcus pneumoniae TIGR4	170187
106	Caulobacter vibrioides CB15	190650
107	Shigella flexneri 2a str. 301	198214
108	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287
109	Sinorhizobium meliloti 1021	266834
110	Chlorobaculum tepidum TLS	194439
111	Saccharolobus solfataricus P2	273057
112	Rickettsia conorii str. Malish 7	272944
113	Streptococcus pneumoniae R6	171101
114	Methanosarcina mazei Go1	192952
115	Caldanaerobacter subterraneus subsp. tengcongensis MB4	273068
116	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	264203
117	Brucella melitensis bv. 1 str. 16M	224914
118	Xanthomonas campestris pv. campestris str. ATCC 33913	190485
119	Xanthomonas citri pv. citri str. 306	190486
120	Chlamydia pneumoniae TW-183	182082
121	Xylella fastidiosa Temecula1	183190
122	Streptococcus agalactiae 2603V/R	208435
123	Streptococcus pyogenes MGAS8232	186103
124	Pyrococcus furiosus DSM 3638	186497
125	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304
126	Methanosarcina acetivorans C2A	188937
127	Buchnera aphidicola str. Sg (Schizaphis graminum)	198804
128	Streptococcus pyogenes MGAS315	198466
129	Escherichia coli CFT073	199310
130	Streptococcus mutans UA159	210007
131	Tropheryma whipplei str. Twist	203267
132	Brucella suis 1330	204722
133	Bifidobacterium longum NCC2705	206672
134	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	209261
135	Pseudomonas putida KT2440	160488
136	Porphyromonas gingivalis W83	242619
137	Chlamydia caviae GPIC	227941
138	Clostridium tetani E88	212717
139	Staphylococcus epidermidis ATCC 12228	176280
140	Leifsonia xyli subsp. xyli str. CTCB07	281090
141	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	267671
142	Chromobacterium violaceum ATCC 12472	243365
143	Buchnera aphidicola str. Bp (Baizongia pistaciae)	224915
144	[Mannheimia] succiniciproducens MBEL55E	221988
145	Coxiella burnetii RSA 493	227377
146	Enterococcus faecalis V583	226185
147	Pseudomonas syringae pv. tomato str. DC3000	223283
148	Bacillus cereus ATCC 14579	226900
149	Bacillus anthracis str. Ames	198094
150	Mycobacterium avium subsp. paratuberculosis K-10	262316
151	Yersinia pestis biovar Microtus str. 91001	229193
152	Helicobacter hepaticus ATCC 51449	235279
153	Prochlorococcus marinus subsp. marinus str. CCMP1375	167539
154	[Haemophilus] ducreyi 35000HP	233412
